default,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_emp_since,installment_as_income_perc,other_debtors,present_res_since,property,age,other_installment_plans,housing,credits_this_bank,job,people_under_maintenance,telephone,foreign_worker
0,3,27,3,5,5190,4,0,4,2,4,0,48,1,1,4,1,2,1,1
0,3,12,3,4,2171,1,1,2,2,2,1,29,0,1,1,1,1,0,1
0,0,12,3,2,1007,0,2,4,2,1,2,22,1,1,1,1,1,0,1
1,3,36,3,0,1819,1,2,4,2,4,3,37,2,0,1,1,1,1,1
0,3,36,3,4,2394,4,2,4,2,4,1,25,1,1,1,1,1,0,1
0,3,36,3,3,8133,1,2,1,2,2,0,30,0,1,1,1,1,0,1
0,3,7,1,4,730,4,0,4,2,2,0,46,1,2,2,3,1,1,1
0,1,8,1,6,1164,1,0,3,2,4,3,51,0,0,2,0,2,1,1
0,0,42,1,1,5954,1,3,2,2,1,2,41,0,1,2,3,1,0,1
1,1,36,3,0,1977,4,0,4,2,4,3,40,1,1,1,0,1,1,1
0,1,12,1,3,1526,1,0,4,2,4,3,66,1,0,2,0,1,0,1
1,1,42,3,4,3965,1,1,4,2,3,1,34,1,1,1,1,1,0,1
0,0,11,2,4,4771,1,3,2,2,4,0,51,1,1,1,1,1,0,1
0,3,54,4,3,9436,4,2,2,2,2,0,39,1,1,1,3,2,0,1
0,0,30,3,7,3832,1,1,2,2,1,0,22,1,1,1,1,1,0,1
1,3,24,3,4,5943,4,1,1,2,1,1,44,1,1,2,1,1,1,1
0,3,15,3,4,1213,3,0,4,2,3,0,47,2,1,1,1,1,1,1
0,3,18,3,1,1568,2,2,3,2,4,0,24,1,2,1,3,1,0,1
0,1,24,3,6,1755,1,0,4,1,4,2,58,1,1,1,3,1,1,1
0,1,10,3,4,2315,1,0,3,2,4,2,52,1,1,1,3,1,0,1
0,3,12,1,1,1412,1,2,4,1,2,2,29,1,1,2,0,1,1,1
0,0,18,1,7,1295,1,1,4,2,1,0,27,1,1,2,1,1,0,1
1,0,36,3,0,12612,2,2,1,2,4,3,47,1,0,1,1,2,1,1
0,1,18,3,2,2249,2,3,4,2,3,1,30,1,1,1,0,2,1,1
1,1,12,4,5,1108,1,3,4,2,3,2,28,1,1,2,1,1,0,1
0,3,12,1,4,618,1,0,4,2,4,2,56,1,1,1,1,1,0,1
0,1,12,1,3,1409,1,0,4,2,3,2,54,1,1,1,1,1,0,1
1,3,12,1,4,797,4,0,4,2,3,0,33,0,1,1,3,2,0,1
0,2,24,1,7,3617,4,0,4,0,4,3,20,1,2,2,1,1,0,1
0,0,12,3,2,1318,0,0,4,2,4,2,54,1,1,1,1,1,1,1
1,0,54,4,1,15945,1,1,3,2,4,3,58,1,2,1,1,1,1,1
0,3,12,1,0,2012,4,3,4,2,2,1,61,1,1,1,1,1,0,1
0,0,18,3,1,2622,2,2,4,2,4,1,34,1,1,1,1,1,0,1
0,0,36,1,4,2337,1,0,4,2,4,2,36,1,1,1,1,1,0,1
0,0,20,2,3,7057,4,3,3,2,4,0,36,0,2,2,0,2,1,1
0,3,24,3,2,1469,2,0,4,2,4,2,41,1,2,1,3,1,0,1
0,0,36,3,4,2323,1,3,4,2,4,1,24,1,2,1,1,1,0,1
0,3,6,2,4,932,1,2,3,2,2,2,24,1,1,1,1,1,0,1
0,0,9,1,7,1919,1,3,4,2,3,1,35,1,2,1,1,1,1,1
0,3,12,3,3,2445,4,1,2,2,4,1,26,1,2,1,1,1,1,1
1,0,24,1,6,11938,1,2,2,0,3,1,39,1,1,2,0,2,1,1
1,3,18,0,2,6458,1,0,2,2,4,3,39,0,1,2,0,2,1,1
0,0,12,3,2,6078,1,3,2,2,2,1,32,1,1,1,1,1,0,1
0,1,24,3,7,7721,4,1,1,2,2,0,30,1,1,1,1,1,1,0
0,0,14,3,1,1410,3,0,1,2,2,2,35,1,1,1,1,1,1,1
0,0,6,2,1,1449,2,0,1,2,2,1,31,0,1,2,1,2,0,1
0,2,15,3,0,392,1,1,4,2,4,0,23,1,2,1,1,1,1,1
0,0,18,3,2,6260,1,3,3,2,3,2,28,1,2,1,3,1,0,1
1,3,36,1,2,7855,1,2,4,2,2,2,25,2,1,2,1,1,1,1
0,1,12,3,4,1680,3,0,3,2,1,2,35,1,1,1,1,1,0,1
0,3,48,1,4,3578,4,0,4,2,1,2,47,1,1,1,1,1,1,1
1,1,42,3,4,7174,4,3,4,2,3,1,30,1,1,1,0,1,1,1
0,1,10,1,7,2132,4,1,2,0,3,2,27,1,2,2,1,1,0,0
1,1,33,1,7,4281,3,2,1,2,4,1,23,1,1,2,1,1,0,1
0,0,12,1,2,2366,3,3,3,2,3,1,36,1,1,1,0,1,1,1
1,1,21,3,4,1835,1,2,3,2,2,2,25,1,1,2,1,1,1,1
0,3,24,1,3,3868,1,0,4,2,2,1,41,1,2,2,0,1,1,1
0,3,12,3,7,1768,1,2,3,2,2,2,24,1,2,1,3,1,0,1
0,2,10,1,2,781,1,0,4,2,4,3,63,1,0,2,1,1,1,1
1,0,18,3,7,1924,4,1,4,2,3,2,27,1,2,1,1,1,0,1
0,1,12,1,2,2121,1,2,4,2,2,0,30,1,1,2,1,1,0,1
0,1,12,3,4,701,1,2,4,2,2,2,40,1,1,1,3,1,0,1
1,0,12,3,5,639,1,2,4,2,2,1,30,1,1,1,1,1,0,1
0,0,12,1,3,1860,1,4,4,2,2,1,34,1,1,2,0,1,1,1
1,1,12,1,2,3499,1,2,3,0,2,2,29,1,1,2,1,1,0,1
0,0,48,3,2,8487,4,3,1,2,2,1,24,1,1,1,1,1,0,1
1,1,36,2,0,6887,1,2,4,2,3,0,29,2,1,1,1,1,1,1
0,3,15,3,7,2708,1,1,2,2,3,0,27,0,1,2,3,1,0,1
0,3,18,3,7,1984,1,2,4,2,4,3,47,0,0,2,1,1,0,1
0,3,60,3,4,10144,2,3,2,2,4,2,21,1,1,1,1,1,1,1
0,3,12,1,4,1240,4,0,4,2,2,2,38,1,1,2,1,1,1,1
0,3,27,2,3,8613,0,2,2,2,2,1,27,1,1,2,1,1,0,1
1,0,12,3,4,766,3,2,4,2,3,2,66,1,1,1,3,1,0,1
0,0,15,1,4,2728,4,3,4,1,2,2,35,0,1,3,1,1,1,1
0,2,12,3,4,1881,1,2,2,2,2,1,44,1,2,1,3,1,1,1
0,2,6,3,2,709,0,1,2,2,2,2,27,1,1,1,2,1,0,0
0,0,36,3,4,4795,1,1,4,2,1,3,30,1,1,1,0,1,1,1
0,1,27,3,4,3416,1,2,3,2,2,1,27,1,1,1,0,1,0,1
1,1,18,3,7,2462,1,2,2,2,2,1,22,1,1,1,1,1,0,1
0,3,21,1,7,2288,1,1,4,2,4,0,23,1,1,1,1,1,1,1
0,0,48,0,1,3566,2,3,4,2,2,1,30,1,1,1,1,1,0,1
0,1,6,1,2,860,1,0,1,2,4,3,39,1,1,2,1,1,1,1
0,3,12,1,2,682,2,3,4,2,3,1,51,1,1,2,1,1,1,1
0,1,36,1,7,5371,1,2,3,1,2,0,28,1,1,2,1,1,0,1
0,3,18,1,4,1582,0,0,4,2,4,1,46,1,1,2,1,1,0,1
0,3,6,3,4,1346,2,0,2,2,4,3,42,0,0,1,1,2,1,1
0,3,10,3,4,1924,1,2,1,2,4,0,38,1,1,1,1,1,1,0
0,2,36,3,4,5848,1,2,4,2,1,1,24,1,1,1,1,1,0,1
0,0,24,1,3,7758,0,0,2,2,4,3,29,1,2,1,1,1,0,1
0,0,24,2,1,6967,2,3,4,2,4,1,36,1,2,1,0,1,1,1
1,1,12,3,7,1282,1,2,2,2,4,1,20,1,2,1,1,1,0,1
0,1,9,1,5,1288,2,0,3,1,4,2,48,1,1,2,1,2,0,0
0,1,12,0,9,339,1,0,4,2,1,1,45,0,1,1,3,1,0,1
0,0,24,3,2,3512,2,3,2,2,3,1,38,0,1,2,1,1,1,1
0,3,6,1,4,1898,4,2,1,2,2,2,34,1,1,2,3,2,0,1
0,3,24,1,4,2872,2,0,3,2,4,2,36,1,1,1,1,2,1,1
0,3,18,1,2,1055,1,1,4,2,1,0,30,1,1,2,1,1,0,1
0,3,15,3,8,1262,3,3,4,2,3,0,36,1,1,2,1,1,1,1
0,0,10,3,2,7308,1,4,2,2,4,3,70,0,0,1,0,1,1,1
0,3,36,3,2,909,3,0,4,2,4,0,36,1,1,1,1,1,0,1
0,3,6,3,7,2978,3,2,1,2,2,1,32,1,1,1,1,1,1,1
1,1,18,3,7,1131,1,4,4,2,2,1,33,1,1,1,1,1,0,1
0,0,11,3,7,1577,0,1,4,2,1,2,20,1,1,1,1,1,0,1
0,3,24,3,7,3972,1,3,2,2,4,0,25,1,2,1,1,1,1,1
1,0,24,1,1,1935,1,0,4,2,4,2,31,1,1,2,1,1,1,1
1,1,15,4,2,950,1,0,4,2,3,1,33,1,2,2,1,2,0,1
0,3,12,3,7,763,1,2,4,2,1,2,26,1,1,1,1,1,1,1
1,0,24,2,7,2064,1,4,3,2,2,0,34,1,1,1,0,1,1,1
0,0,8,3,4,1414,1,2,4,1,2,2,33,1,1,1,1,1,0,0
1,1,21,2,0,3414,1,1,2,2,1,0,26,1,1,2,1,1,0,1
1,3,30,0,3,7485,4,4,4,2,1,2,53,0,1,1,0,1,1,1
0,1,12,3,7,2577,1,2,2,2,1,1,42,1,1,1,1,1,0,1
0,1,6,1,4,338,3,0,4,2,4,1,52,1,1,2,1,1,0,1
0,3,12,3,4,1963,1,3,4,2,2,1,31,1,2,2,0,2,1,1
0,1,21,1,2,571,1,0,4,2,4,2,65,1,1,2,1,1,0,1
1,3,36,2,1,9572,1,1,1,2,1,1,28,1,1,2,1,1,0,1
1,0,36,2,1,4455,1,2,2,2,2,2,30,2,1,2,0,1,1,1
1,1,21,0,2,1647,4,2,4,2,2,0,40,1,1,2,3,2,0,1
0,3,24,1,7,3777,0,2,4,2,4,2,50,1,1,1,1,1,1,1
1,0,18,1,2,884,1,0,4,2,4,1,36,0,1,1,1,2,1,1
0,3,15,1,4,1360,1,2,4,2,2,0,31,1,1,2,1,1,0,1
1,0,9,0,3,5129,1,0,2,2,4,3,74,0,0,1,0,2,1,1
0,0,16,1,2,1175,1,4,2,2,3,1,68,1,0,3,2,1,1,1
1,1,12,3,4,674,2,3,4,2,1,0,20,1,1,1,1,1,0,1
0,0,18,4,7,3244,1,2,1,2,4,1,33,0,1,2,1,1,1,1
1,3,24,3,1,4591,0,2,2,2,3,0,54,1,1,3,0,1,1,1
1,0,48,4,1,3844,2,3,4,2,4,3,34,1,0,1,3,2,0,1
1,0,27,3,1,3915,1,2,4,2,2,1,36,1,1,1,1,2,1,1
0,3,6,3,4,2108,1,3,2,2,2,2,29,1,2,1,1,1,0,1
1,0,45,3,4,3031,2,2,4,1,4,0,21,1,2,1,1,1,0,1
1,0,9,1,0,1501,1,0,2,2,3,1,34,1,1,2,0,1,1,1
0,3,6,1,4,1382,1,2,1,2,1,1,28,1,1,2,1,1,1,1
1,0,12,3,7,951,2,1,4,2,4,1,27,0,2,4,1,1,0,1
0,0,24,3,3,2760,4,0,4,2,4,3,36,0,0,1,1,1,1,1
1,0,18,2,7,4297,1,0,4,2,3,3,40,1,1,1,0,1,1,1
0,3,9,1,0,936,3,0,4,2,2,1,52,1,1,2,1,1,1,1
0,1,12,3,2,1168,1,2,4,2,3,2,27,1,1,1,3,1,0,1
0,3,27,2,1,5117,1,3,3,2,4,1,26,1,1,2,1,1,0,1
1,1,12,3,9,902,1,3,4,2,4,0,21,1,2,1,1,1,0,1
0,3,12,1,2,1495,1,0,4,2,1,2,38,1,1,2,3,2,0,1
0,1,30,1,3,10623,1,0,3,2,4,3,38,1,0,3,0,2,1,1
0,3,12,1,7,1935,1,0,4,2,4,2,43,1,1,3,1,1,1,1
0,0,12,1,8,1424,1,3,4,2,3,0,26,1,1,1,1,1,0,1
0,1,24,3,1,6568,1,2,2,2,2,1,21,2,1,1,3,1,0,1
0,3,12,3,3,1413,0,3,3,2,2,0,55,1,1,1,1,1,0,0
0,3,9,1,4,3074,4,2,1,2,2,2,33,1,1,2,1,2,0,1
0,3,36,3,4,3835,4,0,2,2,4,2,45,1,1,1,3,1,1,1
1,1,27,4,1,5293,1,4,2,2,4,0,50,2,1,2,1,1,1,1
1,2,30,2,1,1908,1,0,4,2,4,2,66,1,1,1,0,1,1,1
0,3,36,1,4,3342,4,0,4,2,2,1,51,1,1,1,1,1,1,1
0,0,6,1,9,932,4,3,1,2,3,0,39,1,1,2,3,1,0,1
0,1,18,4,1,3104,1,3,3,2,1,0,31,0,1,1,1,1,1,1
0,2,36,3,4,3913,1,2,2,2,2,2,23,1,1,1,1,1,1,1
0,1,24,3,7,3021,1,2,2,2,2,2,24,1,2,1,3,1,0,1
0,3,10,3,2,1364,1,2,2,2,4,1,64,1,1,1,1,1,1,1
0,0,12,3,4,625,1,1,4,1,1,2,26,0,1,1,3,1,0,1
0,1,12,3,0,1200,4,2,4,2,4,0,23,0,2,1,1,1,1,1
0,3,12,3,4,707,1,2,4,2,2,2,30,0,1,2,1,1,0,1
0,3,24,2,1,2978,4,2,4,2,4,2,32,1,1,2,1,2,1,1
0,3,15,3,3,4657,1,2,3,2,2,1,30,1,1,1,1,1,1,1
0,3,36,4,5,2613,1,2,4,2,2,1,27,1,1,2,1,1,0,1
1,0,48,3,4,10961,0,3,1,0,2,3,27,0,1,2,1,1,1,1
1,1,12,3,7,7865,1,0,4,2,4,3,53,1,0,1,0,1,1,1
1,3,9,3,4,1478,1,3,4,2,2,1,22,1,1,1,1,1,0,1
0,1,24,3,7,3149,1,1,4,2,1,3,22,0,0,1,1,1,0,1
1,2,36,3,4,4210,1,2,4,2,2,1,26,1,1,1,1,1,0,1
0,3,9,3,2,2507,3,0,2,2,4,3,51,1,0,1,3,1,0,1
0,3,12,3,4,2141,2,3,3,2,1,3,35,1,1,1,1,1,0,1
0,0,18,3,4,866,1,2,4,1,2,2,25,1,1,1,3,1,0,1
0,3,4,1,4,1544,1,3,2,2,1,2,42,1,1,3,3,2,0,1
1,1,24,3,4,1823,1,4,4,2,2,1,30,2,1,1,0,2,0,1
1,0,6,3,2,14555,4,4,1,2,2,0,23,1,1,1,2,1,1,1
1,0,21,3,1,2767,2,0,4,2,2,1,61,0,2,2,3,1,0,1
0,3,12,1,4,1291,1,2,4,2,2,0,35,1,1,2,1,1,0,1
0,1,30,3,4,2522,1,0,1,1,3,0,39,1,1,1,1,2,0,1
1,1,24,3,2,915,4,0,4,2,2,1,29,0,1,1,1,1,0,1
0,3,6,3,4,1595,1,3,3,2,2,0,51,1,1,1,1,2,0,1
1,1,48,4,3,4605,1,0,3,2,4,3,24,1,0,2,1,2,0,1
0,3,12,1,1,1185,1,2,3,2,2,2,27,1,1,2,1,1,0,1
0,3,12,0,9,3447,3,2,4,2,3,2,35,1,1,1,3,2,0,1
0,3,24,3,1,1258,1,3,4,2,1,2,25,1,1,1,1,1,1,1
0,3,12,1,4,717,1,0,4,2,4,2,52,1,1,3,1,1,0,1
0,3,6,4,2,1204,2,2,4,2,1,3,35,0,2,1,1,1,0,0
0,2,24,3,7,1925,1,2,2,2,2,2,26,1,1,1,1,1,0,1
1,3,18,3,4,433,1,4,3,0,4,2,22,1,2,1,1,1,0,1
0,1,6,1,2,666,0,3,3,2,4,2,39,1,1,2,3,1,1,1
0,2,12,3,7,2251,1,2,1,2,2,1,46,1,1,1,3,1,0,1
1,0,30,3,2,2150,1,2,4,1,2,3,24,0,1,1,1,1,0,1
0,3,24,2,7,4151,2,2,2,2,3,0,35,1,1,2,1,1,0,1
0,0,9,3,7,2030,4,3,2,2,1,1,24,1,1,1,1,1,1,1
0,0,60,2,4,7418,4,2,1,2,1,2,27,1,1,1,3,1,0,1
0,3,24,1,4,2684,1,2,4,2,2,2,35,1,1,2,3,1,0,1
1,1,12,0,4,2149,1,2,4,2,1,3,29,1,0,1,1,1,0,1
0,3,15,3,3,3812,2,1,1,2,4,1,23,1,1,1,1,1,1,1
0,3,11,1,4,1154,2,4,4,2,4,2,57,1,1,3,3,1,0,1
0,1,12,3,7,1657,1,2,2,2,2,2,27,1,1,1,1,1,0,1
0,1,24,3,4,1603,1,0,4,2,4,1,55,1,1,1,1,1,0,1
0,1,18,1,2,5302,1,0,2,2,4,3,36,1,0,3,0,1,1,1
0,3,12,1,0,2748,1,0,2,2,4,3,57,0,0,3,3,1,0,1
0,3,10,1,2,1231,1,0,3,2,4,2,32,1,1,2,3,2,0,0
1,0,15,3,4,802,1,0,4,2,3,1,37,1,1,1,1,2,0,1
0,3,36,1,1,6304,4,0,4,2,4,2,36,1,1,2,1,1,0,1
0,3,24,3,4,1533,1,1,4,2,3,1,38,2,1,1,1,1,1,1
1,1,14,3,2,8978,1,0,1,2,4,0,45,1,1,1,0,1,1,0
0,3,24,3,4,999,4,0,4,2,2,1,25,1,1,2,1,1,0,1
0,3,18,3,2,2662,4,3,4,2,3,0,32,1,1,1,1,1,0,0
0,3,12,1,7,1402,3,3,3,2,4,1,37,1,2,1,1,1,1,1
0,0,48,0,2,12169,4,4,4,0,4,3,36,1,0,1,0,1,1,1
1,0,48,3,4,3060,1,3,4,2,4,2,28,1,1,2,1,1,0,1
1,1,30,3,5,11998,1,1,1,2,1,3,34,1,1,1,3,1,1,1
0,3,9,3,4,2697,1,2,1,2,2,2,32,1,1,1,1,2,0,1
0,3,18,1,4,2404,1,2,2,2,2,1,26,1,1,2,1,1,0,1
0,1,12,3,7,1262,4,0,2,2,4,0,49,1,1,1,3,1,1,1
1,3,6,3,7,4611,1,1,1,2,4,0,32,1,1,1,1,1,0,1
0,3,24,3,4,1901,2,2,4,2,4,1,29,1,2,1,0,1,1,1
0,3,15,1,3,3368,0,0,3,2,4,3,23,1,2,2,1,1,1,1
0,3,12,3,7,1574,1,2,4,2,2,2,50,1,1,1,1,1,0,1
0,2,18,0,4,1445,4,3,4,2,4,1,49,0,1,1,3,1,0,1
0,3,15,1,7,1520,4,0,4,2,4,0,63,1,1,1,1,1,0,1
0,0,24,1,2,3878,2,1,4,2,2,1,37,1,1,1,1,1,1,1
0,1,47,3,2,10722,1,1,1,2,1,2,35,1,1,1,3,1,1,1
0,1,48,3,3,4788,1,3,4,2,3,0,26,1,1,1,1,2,0,1
0,0,48,2,6,7582,2,4,2,2,4,3,31,1,0,1,0,1,1,1
0,0,12,3,4,1092,1,2,4,1,4,2,49,1,1,2,1,1,1,1
1,1,24,2,4,1024,1,1,4,2,4,2,48,2,1,1,1,1,0,1
0,3,12,3,1,1076,1,2,2,2,2,2,26,1,1,1,1,1,1,0
1,0,36,3,3,9398,1,1,1,2,4,1,28,1,2,1,0,1,1,1
0,1,24,1,3,6419,1,0,2,2,4,3,44,1,0,2,0,2,1,1
0,2,42,1,3,4796,1,0,4,2,4,3,56,1,0,1,1,1,0,1
0,3,48,1,1,7629,4,0,4,2,2,1,46,0,1,2,0,2,0,1
1,0,48,3,7,9960,1,1,1,2,2,1,26,1,1,1,1,1,1,1
0,3,12,3,3,4675,4,1,1,2,4,1,20,1,2,1,1,1,0,1
0,3,10,3,2,1287,4,0,4,0,2,0,45,1,1,1,3,1,0,0
0,3,18,3,7,2515,1,2,3,2,4,2,43,1,1,1,1,1,1,1
0,0,21,1,7,2745,0,3,3,2,2,1,32,1,1,2,1,1,1,1
0,3,6,3,2,672,1,4,1,2,4,2,54,1,1,1,2,1,1,1
1,0,36,4,4,3804,1,2,4,2,1,1,42,1,1,1,1,1,1,1
1,2,24,1,2,1344,4,3,4,2,2,2,37,0,1,2,3,2,0,1
0,1,10,1,2,1038,1,3,4,0,3,0,49,1,1,2,1,1,1,1
1,3,48,1,2,10127,3,2,2,2,2,3,44,0,0,1,1,1,0,1
0,3,6,3,7,1543,0,2,4,2,2,2,33,1,1,1,1,1,0,1
0,3,30,3,3,4811,4,3,2,2,4,0,24,2,2,1,3,1,0,1
1,1,12,3,4,727,2,1,4,2,3,3,33,1,1,1,3,1,1,1
1,0,8,3,7,1237,1,2,3,2,4,2,24,1,1,1,1,1,0,1
0,0,9,3,2,276,1,2,4,2,4,2,22,1,2,1,3,1,0,1
0,0,48,3,6,5381,4,4,3,2,4,3,40,0,0,1,2,1,1,1
0,3,24,3,7,5511,2,2,4,2,1,1,25,2,1,1,1,1,0,1
0,2,24,3,7,3749,1,1,2,2,4,1,26,1,1,1,1,1,0,1
1,0,12,3,2,685,1,3,2,2,3,1,25,0,1,1,3,1,0,1
0,2,4,3,2,1494,4,1,1,2,2,2,29,1,1,1,3,2,0,0
1,1,36,0,7,2746,1,0,4,2,4,1,31,0,1,1,1,1,0,1
0,1,12,3,7,708,1,2,2,1,3,0,38,1,1,1,3,2,0,1
0,0,24,3,7,4351,4,2,1,2,4,0,48,1,1,1,3,1,1,1
0,3,12,1,0,701,1,2,4,2,2,1,32,1,1,2,1,1,0,1
0,1,15,2,7,3643,1,0,1,2,4,0,27,1,1,2,3,1,0,1
1,0,30,1,2,4249,1,4,4,2,2,1,28,1,1,2,0,1,0,1
1,1,24,3,4,1938,1,1,4,2,3,0,32,1,1,1,1,1,0,1
0,1,24,3,3,2910,1,3,2,2,1,3,34,1,0,1,0,1,1,1
0,1,18,3,7,2659,0,2,4,2,2,1,28,1,1,1,1,1,0,1
0,3,18,1,2,1028,1,2,4,2,3,2,36,1,1,2,1,1,0,1
0,1,8,1,2,3398,1,3,1,2,4,2,39,1,1,2,3,1,0,0
0,3,12,1,7,5801,4,0,2,2,4,0,49,1,2,1,1,1,1,1
0,3,24,3,2,1525,0,3,4,2,3,1,34,1,1,1,1,2,1,1
0,2,36,3,4,4473,1,0,4,2,2,1,31,1,1,1,1,1,0,1
0,0,6,3,4,1068,1,0,4,2,4,1,28,1,1,1,1,2,0,1
0,1,24,1,3,6615,1,4,2,2,4,3,75,1,0,2,0,1,1,1
1,3,18,1,0,1864,2,2,4,2,2,2,30,1,1,2,1,1,0,1
1,0,60,3,2,7408,2,1,4,2,2,0,24,1,1,1,0,1,0,1
1,3,48,1,3,11590,2,2,2,2,4,1,24,0,2,2,3,1,0,1
1,1,24,4,7,4110,1,0,3,2,4,3,23,0,2,2,1,2,0,1
1,1,6,1,7,3384,1,2,1,2,4,2,44,1,2,1,0,1,1,1
0,0,13,3,4,2101,1,1,2,1,4,0,23,1,1,1,3,1,0,1
